complex_id,label
2N52_A_22303,1
2N52_A_2857,0
2N52_A_18677,0
2AM3_A_588,0
2AM3_A_21869,1
2AM3_A_26874,0
2AM3_A_21395,0
2AM3_A_20657,0
1EE2_B_19734,0
1EE2_B_21686,0
1EE2_B_4314,0
1EE2_B_25348,0
1EE2_B_19559,0
1EE2_B_21651,0
1EE2_B_12960,1
1EE2_B_12271,0
1EE2_B_5711,1
1EE2_B_1129,0
1EE2_B_12191,1
1EE2_B_16088,0
7UT0_A_22494,1
7UT0_A_8878,0
7UT0_A_903,0
7UT0_A_1517,0
7UT0_A_12710,0
7UT0_A_1972,0
7BY1_A_2226,0
7BY1_A_27138,1
7BY1_A_16386,0
7BY1_A_205,0
7BY1_A_16513,0
7BY1_A_13312,0
7BY1_A_20513,1
7BY1_A_15145,1
7BY1_A_13618,0
7BY1_A_8312,0
7BY1_A_13631,0
7BY1_A_1091,1
7BY1_A_13165,0
7BY1_A_15415,0
7BY1_A_5681,0
7BY1_A_15618,0
5F0J_C_21428,0
5F0J_C_9045,0
2C47_A_19481,0
3C0Y_A_19227,0
3C0Y_A_2667,1
3C0Y_A_5773,0
3C0Y_A_23013,0
3C0Y_A_19018,0
3C0Y_A_22323,0
3C0Y_A_25895,0
3C0Y_A_21577,1
3C0Y_A_20305,0
2KVU_A_16360,0
2KVU_A_10570,0
2KVU_A_11519,0
2KVU_A_21870,1
3I2B_A_17960,0
3I2B_A_11248,0
3I2B_A_20929,0
3I2B_A_22880,0
3I2B_A_9100,0
3I2B_A_3545,0
3I2B_A_16528,1
3I2B_A_9127,0
3I2B_A_563,0
3I2B_A_12194,0
3I2B_A_8881,0
3I2B_A_19491,0
3I2B_A_2246,0
3I2B_A_1493,0
1A27_A_17015,0
1A27_A_3797,1
1A27_A_16609,0
1A27_A_1389,0
1A27_A_9703,0
1A27_A_11013,0
1A27_A_27260,0
1A27_A_20309,0
1CA3_A_4786,1
1CA3_A_21935,1
1CA3_A_24214,1
1CA3_A_10801,0
1CA3_A_17123,1
1CA3_A_6661,1
1CA3_A_7503,1
1CA3_A_4267,1
1CA3_A_9780,1
1CA3_A_9241,1
1CA3_A_6025,1
1CA3_A_26163,1
1CA3_A_13525,1
1CA3_A_869,1
1CA3_A_26643,1
1CA3_A_3570,1
1CA3_A_17840,1
1CA3_A_3083,1
1CA3_A_26900,1
1CA3_A_13030,1
1CA3_A_21278,1
1CA3_A_2655,1
1CA3_A_27235,1
1CA3_A_20058,1
1CA3_A_25793,1
1CA3_A_24554,1
1CA3_A_26577,1
1CA3_A_20932,1
1CA3_A_4701,1
1CA3_A_464,1
1CA3_A_17501,1
1CA3_A_23224,0
1CA3_A_13323,1
1CA3_A_6225,1
1CA3_A_8994,1
1CA3_A_3356,1
1CA3_A_3098,1
1CA3_A_19031,1
1CA3_A_13374,1
1CA3_A_5484,1
1CA3_A_21770,1
1CA3_A_19764,1
1CA3_A_1283,1
1CA3_A_10546,0
1CA3_A_7092,1
1CA3_A_14949,1
1CA3_A_253,1
1CA3_A_19415,1
1CA3_A_2290,1
1CA3_A_15612,1
1CA3_A_13574,1
1CA3_A_18916,1
1CA3_A_20356,1
1CA3_A_11515,1
1CA3_A_15445,1
1CA3_A_12754,1
1CA3_A_20451,1
1CA3_A_695,1
1CA3_A_18020,1
1CA3_A_7546,1
1CA3_A_8781,0
1CA3_A_24641,1
1CA3_A_17954,1
1CA3_A_688,1
1CA3_A_3087,1
1CA3_A_11701,1
1CA3_A_20830,0
1CA3_A_664,1
1CA3_A_10759,1
1CA3_A_22334,1
1CA3_A_18123,1
1CA3_A_4191,1
1CA3_A_1354,0
1CA3_A_15267,1
1CA3_A_23183,1
1CA3_A_20148,1
1CA3_A_496,1
1CA3_A_3659,1
1CA3_A_12313,1
1CA3_A_18453,1
1CA3_A_3194,1
1CA3_A_8441,1
1CA3_A_21052,1
1CA3_A_3219,1
1CA3_A_23947,1
1CA3_A_25012,1
1CA3_A_25546,1
1CA3_A_6551,1
1CA3_A_16603,1
1CA3_A_19032,1
1CA3_A_17946,1
1CA3_A_24411,1
1CA3_A_20786,1
1CA3_A_3153,1
1CA3_A_19189,1
1CA3_A_26471,1
1CA3_A_15741,1
1CA3_A_10830,1
1CA3_A_2330,1
1CA3_A_17451,1
1CA3_A_8558,1
4BEW_A_20243,0
4BEW_A_14858,1
2N02_A_9264,1
2N02_A_667,1
2N02_A_4793,1
2N02_A_7519,1
2N02_A_26011,1
2N02_A_22991,1
2N02_A_9612,1
2N02_A_20603,1
2N02_A_24280,0
2N02_A_11634,1
2N02_A_8329,1
2N02_A_6269,1
2N02_A_11093,1
2N02_A_24879,0
2N02_A_15010,0
4GRW_B_7173,0
4GRW_B_6968,0
4GRW_B_19497,1
4GRW_B_24009,0
4GRW_B_3323,0
4GRW_B_5934,0
4GRW_B_16361,0
4GRW_B_11396,0
6XFQ_G_6228,0
6XFQ_G_27256,0
6XFQ_G_3260,0
6XFQ_G_1603,0
3GQY_A_24137,1
3GQY_A_15959,0
3GQY_A_6888,0
3GQY_A_17516,0
3GQY_A_10032,1
3GQY_A_24348,0
3GQY_A_13184,1
3GQY_A_16914,0
3GQY_A_3743,1
3GQY_A_24937,1
3GQY_A_2269,0
3GQY_A_17322,1
1KUV_A_8900,0
1KUV_A_9099,0
1KUV_A_22362,0
1KUV_A_4723,1
1KUV_A_9109,1
1KUV_A_17691,1
1KUV_A_5618,0
1KUV_A_22029,0
1JO6_A_12165,1
1JO6_A_18967,1
1JO6_A_25161,0
1JO6_A_27376,0
1JO6_A_16077,0
1JO6_A_22979,0
1JO6_A_21689,0
1JO6_A_21005,0
1JO6_A_20858,0
1JO6_A_5785,0
1JO6_A_18505,1
1JO6_A_5,0
6S8L_B_11546,0
6S8L_B_19754,0
6S8L_B_23843,1
6S8L_B_20639,0
6S8L_B_14307,1
3R7G_A_9500,0
3R7G_A_5031,0
3R7G_A_2375,0
3R7G_A_572,0
3R7G_A_18734,0
3R7G_A_26687,0
3R7G_A_6458,0
3R7G_A_2338,1
4ZA0_A_24027,0
4ZA0_A_23681,0
4ZA0_A_6274,0
4ZA0_A_9308,0
4ZA0_A_507,0
4ZA0_A_8496,0
4ZA0_A_18013,0
4ZA0_A_23921,1
1L9L_A_5764,0
1L9L_A_8885,0
1L9L_A_10880,0
1L9L_A_17547,0
1L9L_A_16156,0
1L9L_A_9545,1
1L9L_A_6750,0
4A5T_S_12237,0
4A5T_S_13193,0
4A5T_S_7657,0
4A5T_S_1539,0
4A5T_S_13029,1
4A5T_S_20047,0
4A5T_S_3583,0
4A5T_S_6500,0
4A5T_S_2853,0
4A5T_S_27118,0
4A5T_S_3365,1
4A5T_S_12127,0
4A5T_S_7806,1
4A5T_S_14071,0
4A5T_S_18810,0
4A5T_S_1795,0
4A5T_S_25369,1
4A5T_S_25923,1
4A5T_S_24239,0
4A5T_S_12397,0
2Z7Q_A_5301,0
2Z7Q_A_21337,1
2Z7Q_A_8762,0
2Z7Q_A_16434,0
2Z7Q_A_26832,0
2Z7Q_A_26308,0
6CQ6_A_26665,0
6CQ6_A_15508,0
6CQ6_A_8342,0
6CQ6_A_13311,0
6CQ6_A_11724,0
6CQ6_A_3486,1
6CQ6_A_3706,0
1T09_A_23388,1
1T09_A_25584,0
5WKP_A_3034,0
5WKP_A_1614,0
5WKP_A_70,0
5WKP_A_26364,0
5WKP_A_5217,1
5WKP_A_27372,0
5WKP_A_7459,0
5WKP_A_13610,1
5WKP_A_22777,1
5WKP_A_15400,0
5WKP_A_6857,0
3PM0_A_6530,0
3PM0_A_4820,1
3PM0_A_19280,1
3PM0_A_4223,1
3PM0_A_9183,1
3PM0_A_22318,0
3PM0_A_961,1
3PM0_A_13319,1
3PM0_A_19381,1
3PM0_A_25181,1
3PM0_A_1440,1
3PM0_A_10120,1
3PM0_A_19322,1
3PM0_A_20390,1
3PM0_A_11859,1
3PM0_A_13354,1
3PM0_A_4528,1
3PM0_A_12539,1
3PM0_A_24263,1
3PM0_A_17400,1
3PM0_A_8216,1
3PM0_A_15514,1
3PM0_A_14547,0
3PM0_A_24988,1
3PM0_A_4388,1
3PM0_A_11999,1
3PM0_A_20647,1
3PM0_A_27025,1
3PM0_A_20129,1
3PM0_A_15447,1
3PM0_A_13786,1
3PM0_A_5988,1
3PM0_A_13448,1
5IJT_A_4608,0
5IJT_A_13518,0
5IJT_A_4681,0
5IJT_A_11884,0
5IJT_A_1031,1
5IJT_A_23844,0
5IJT_A_17543,1
3O4R_A_11219,0
3O4R_A_21545,0
3O4R_A_25053,0
3O4R_A_11538,1
3O4R_A_16545,0
3O4R_A_24946,0
3O4R_A_5197,1
3O4R_A_1363,0
3O4R_A_16002,1
3O4R_A_25394,1
3O4R_A_5918,1
3O4R_A_8098,0
3O4R_A_24086,0
3O4R_A_8798,1
3O4R_A_16454,1
3O4R_A_13091,0
3O4R_A_19509,0
3O4R_A_4204,0
3O4R_A_18083,0
1T27_A_264,0
1T27_A_9341,1
1T27_A_15463,0
1T27_A_20765,1
1T27_A_17966,0
1T27_A_25235,0
1T27_A_23103,0
1T27_A_11260,0
1Z8D_A_3252,0
1Z8D_A_2520,1
1Z8D_A_16737,1
1Z8D_A_15570,1
1Z8D_A_10088,1
1Z8D_A_2959,1
1Z8D_A_12821,1
1Z8D_A_18373,1
1Z8D_A_18632,0
1Z8D_A_17990,1
1Z8D_A_15341,1
1Z8D_A_14865,1
1Z8D_A_12207,1
1Z8D_A_1394,1
1Z8D_A_9754,1
1Z8D_A_4065,1
1Z8D_A_2270,1
1Z8D_A_17044,1
1Z8D_A_27191,1
1Z8D_A_27059,1
1Z8D_A_3213,1
1Z8D_A_13224,1
1Z8D_A_7410,0
1Z8D_A_22239,1
1Z8D_A_9123,0
1Z8D_A_27322,1
1Z8D_A_5812,0
1Z8D_A_17994,1
1Z8D_A_9491,1
1Z8D_A_16873,1
1Z8D_A_509,1
1Z8D_A_18429,1
1Z8D_A_15425,1
1Z8D_A_10275,1
1Z8D_A_23730,1
1Z8D_A_1579,1
1Z8D_A_24735,1
1Z8D_A_25454,1
1Z8D_A_3327,1
1Z8D_A_4426,1
1Z8D_A_7853,1
1Z8D_A_20259,1
1Z8D_A_11447,1
1Z8D_A_13888,1
1Z8D_A_3215,1
1Z8D_A_16748,1
1Z8D_A_3927,1
1Z8D_A_20728,0
1Z8D_A_20584,0
1Z8D_A_20616,1
1Z8D_A_19886,1
1Z8D_A_14977,1
1Z8D_A_15318,1
1Z8D_A_18340,1
1Z8D_A_25545,1
1Z8D_A_21377,1
1Z8D_A_26916,1
4AIW_A_18944,0
4AIW_A_9240,0
4AIW_A_21969,1
4AIW_A_24235,0
4AIW_A_335,0
6GQ3_A_23529,1
6GQ3_A_15761,1
6GQ3_A_13393,0
6GQ3_A_7279,1
6GQ3_A_17700,0
6GQ3_A_15120,0
6GQ3_A_19903,0
6GQ3_A_18251,1
6GQ3_A_9200,1
6GQ3_A_938,0
6GQ3_A_15442,0
1ZNC_A_2059,0
1ZNC_A_17903,1
1ZNC_A_9645,1
1ZNC_A_25060,1
1ZNC_A_2105,0
1ZNC_A_12267,1
1ZNC_A_4868,1
1ZNC_A_23155,1
1ZNC_A_3341,1
1ZNC_A_503,0
1ZNC_A_26246,1
1ZNC_A_3378,1
1ZNC_A_1213,1
1ZNC_A_1084,1
1ZNC_A_5937,1
1ZNC_A_11899,0
1ZNC_A_24295,1
1ZNC_A_26346,0
1ZNC_A_23615,1
1ZNC_A_12433,0
1ZNC_A_21470,0
1ZNC_A_20554,1
1ZNC_A_4854,1
1ZNC_A_19952,1
2W6E_G_1551,0
2W6E_G_7156,1
2W6E_G_5667,1
2W6E_G_22482,0
2W6E_G_12157,0
2W6E_G_17974,0
2W6E_G_19884,1
2W6E_G_17298,1
2W6E_G_19793,1
2E56_A_25779,0
2E56_A_8133,0
2E56_A_643,1
2E56_A_8068,0
2E56_A_4595,0
2E56_A_2971,0
2OKK_A_1893,0
2OKK_A_16392,0
2OKK_A_14128,0
2OKK_A_2805,1
2OKK_A_3451,0
2OKK_A_2132,0
2OKK_A_1696,0
2OKK_A_21046,0
2OKK_A_5903,0
2OKK_A_4429,0
2OKK_A_16558,0
2OKK_A_820,0
3QM4_A_11625,1
3QM4_A_171,1
3QM4_A_22127,1
3QM4_A_779,1
3QM4_A_5763,1
3QM4_A_19774,1
1OAT_A_3064,1
1OAT_A_19755,0
1OAT_A_16304,0
1OAT_A_19083,0
1OAT_A_11477,0
1OAT_A_5364,0
1OAT_A_13286,1
1OAT_A_8253,1
1OAT_A_2487,0
1OAT_A_17429,0
1OAT_A_9989,1
2R37_A_3343,1
2R37_A_16216,0
2R37_A_19478,0
2R37_A_15710,0
2R37_A_7525,0
2R37_A_4954,0
2R37_A_18780,0
1FGG_A_21708,0
1FGG_A_5854,0
1FGG_A_15818,1
1FGG_A_989,0
1FGG_A_26778,1
7BR3_A_20024,1
7BR3_A_20951,1
7BR3_A_5535,1
7BR3_A_25344,1
7BR3_A_4828,1
8B7S_A_16842,0
8B7S_A_11218,0
8B7S_A_25703,0
8B7S_A_17215,0
8B7S_A_2364,1
8B7S_A_2236,0
8B7S_A_18994,0
8B7S_A_9348,0
8B7S_A_27089,0
7MLH_A_173,0
7MLH_A_18836,0
7MLH_A_27363,0
7MLH_A_12648,1
7MLH_A_16164,0
1Q8G_A_24918,0
1Q8G_A_20313,0
1Q8G_A_10289,1
1Q8G_A_11050,0
1Q8G_A_9679,0
1Q8G_A_26447,0
1Q8G_A_13151,0
1Q8G_A_16689,0
1PUB_A_16199,1
1PUB_A_9445,1
1PUB_A_5654,1
1PUB_A_25894,0
1PUB_A_26483,1
7LAD_A_16470,1
7LAD_A_4937,1
7LAD_A_20050,1
7LAD_A_14110,1
7LAD_A_26431,1
7LAD_A_17420,1
7LAD_A_7699,1
7LAD_A_16018,1
7LAD_A_19939,1
7LAD_A_10409,1
7LAD_A_23098,1
7LAD_A_10508,1
7LAD_A_5362,0
7LAD_A_3998,1
7LAD_A_16055,1
7LAD_A_17886,1
7LAD_A_17818,1
7LAD_A_14448,1
7LAD_A_21955,1
7LAD_A_17224,1
7LAD_A_17302,1
7LAD_A_23829,1
7LAD_A_11621,1
7LAD_A_3809,1
7LAD_A_8304,1
7LAD_A_25439,1
7LAD_A_27403,1
7LAD_A_11769,1
7LAD_A_10761,1
7LAD_A_24228,1
7LAD_A_2463,1
7LAD_A_16161,1
7LAD_A_9360,1
7LAD_A_10074,1
7LAD_A_5119,1
7LAD_A_11613,1
7LAD_A_4282,1
7LAD_A_5955,1
7LAD_A_450,1
7LAD_A_8486,1
7LAD_A_3189,1
7LAD_A_15901,1
7LAD_A_7990,1
7LAD_A_9413,1
7LAD_A_6849,1
7LAD_A_1751,1
7LAD_A_6393,1
7LAD_A_22624,1
7LAD_A_2852,0
7LAD_A_26396,1
7LAD_A_8063,1
7LAD_A_15985,1
7LAD_A_17749,1
7LAD_A_11679,1
7LAD_A_1776,0
7LAD_A_950,1
7LAD_A_11983,0
7LAD_A_8541,1
7LAD_A_7297,1
7LAD_A_18480,1
7LAD_A_3309,1
7LAD_A_19315,1
7LAD_A_19274,1
7LAD_A_6671,1
7LAD_A_20640,1
7LAD_A_7811,0
7LAD_A_15109,1
7LAD_A_5044,1
7LAD_A_24574,1
7LAD_A_25866,0
7LAD_A_19158,1
7LAD_A_6693,1
7LAD_A_2128,1
7LAD_A_7450,1
7LAD_A_8437,1
7LAD_A_10017,1
7LAD_A_12852,1
7LAD_A_14636,1
7LAD_A_9653,1
7LAD_A_1888,1
7LAD_A_5067,1
7LAD_A_26885,1
7LAD_A_12925,1
7LAD_A_16227,1
7LAD_A_6324,1
7LAD_A_17054,1
7LAD_A_6576,1
7LAD_A_5398,1
7LAD_A_8263,1
7LAD_A_26313,1
7LAD_A_5543,0
7LAD_A_12448,1
7LAD_A_4877,0
7LAD_A_16124,1
7LAD_A_6709,1
7LAD_A_25217,1
7LAD_A_26982,1
7LAD_A_13843,1
7LAD_A_23326,1
7LAD_A_14850,1
7LAD_A_9353,1
7LAD_A_5563,0
7LAD_A_18457,1
7LAD_A_24536,1
7LAD_A_23374,1
7LAD_A_25081,1
7LAD_A_22893,1
7LAD_A_10448,1
7LAD_A_5722,1
7LAD_A_7270,1
7LAD_A_18118,1
7LAD_A_14728,1
7LAD_A_25406,1
7LAD_A_23507,1
7LAD_A_1831,1
7LAD_A_1677,1
7LAD_A_25270,1
7LAD_A_22165,1
7LAD_A_9567,1
7LAD_A_24982,1
7LAD_A_8949,1
7LAD_A_14703,1
7LAD_A_24993,1
7LAD_A_4591,1
7LAD_A_14966,1
7LAD_A_19359,1
7LAD_A_9515,1
7LAD_A_17572,1
7LAD_A_22274,1
7LAD_A_11005,1
7LAD_A_16352,1
7LAD_A_19853,1
7LAD_A_24031,1
7LAD_A_72,1
7LAD_A_20643,1
7LAD_A_3767,1
7LAD_A_23781,1
7LAD_A_11009,1
7LAD_A_14088,1
7LAD_A_22230,1
7LAD_A_1509,1
7LAD_A_24771,0
7LAD_A_13173,1
7LAD_A_25653,1
7LAD_A_14199,1
7LAD_A_9909,1
7LAD_A_5296,1
7LAD_A_21515,1
7LAD_A_26425,1
7LAD_A_1402,1
7LAD_A_2617,1
7LAD_A_2479,1
7LAD_A_11216,1
7LAD_A_3287,1
7LAD_A_24603,1
7LAD_A_24298,1
7LAD_A_22619,1
7LAD_A_13110,1
7LAD_A_17713,1
7LAD_A_25425,1
7LAD_A_23552,1
7LAD_A_6813,1
7LAD_A_3061,1
7LAD_A_26587,1
7LAD_A_14661,1
7LAD_A_18116,1
7LAD_A_6061,1
7LAD_A_24322,1
7LAD_A_4155,1
7LAD_A_4456,1
7LAD_A_14533,1
7LAD_A_8343,1
7LAD_A_10480,0
7LAD_A_25037,1
7LAD_A_6516,1
7LAD_A_18588,1
7LAD_A_19844,1
7LAD_A_3188,1
7LAD_A_13427,1
7LAD_A_23416,1
7LAD_A_23222,1
7LAD_A_10461,1
7LAD_A_3280,1
7LAD_A_15736,1
7LAD_A_7413,1
2XIJ_A_17300,0
3I6W_A_9775,0
3I6W_A_23061,0
3I6W_A_12827,0
3I6W_A_16198,0
3I6W_A_4030,0
3I6W_A_10401,0
3I6W_A_14859,0
3HI7_A_2516,1
3HI7_A_12077,0
3HI7_A_4164,0
3HI7_A_9023,0
3HI7_A_23654,0
3HI7_A_22271,0
3HI7_A_16872,1
7X11_A_8573,1
7X11_A_4725,0
7X11_A_15932,1
3BEJ_A_10688,0
3BEJ_A_23001,0
3BEJ_A_3936,0
3BEJ_A_6803,1
3BEJ_A_967,1
3BEJ_A_4731,1
2LCK_A_11117,0
2LCK_A_25673,0
2LCK_A_793,1
2LCK_A_2274,0
2LCK_A_12763,0
2LCK_A_24451,0
4Z32_A_319,1
4Z32_A_17292,0
4Z32_A_3896,0
4Z32_A_26924,1
4Z32_A_8468,1
4Z32_A_15498,0
4Z32_A_17616,1
4Z32_A_25070,0
4Z32_A_26037,0
4Z32_A_26627,1
4Z32_A_19328,1
4OLI_A_4393,0
4OLI_A_16730,0
4OLI_A_13425,0
4OLI_A_24425,0
4OLI_A_24323,1
2HRB_A_17594,0
2HRB_A_14461,1
2HRB_A_16534,0
2HRB_A_5260,0
2HRB_A_19496,0
2HRB_A_22644,0
4XPB_A_3853,1
4XPB_A_3030,1
4XPB_A_21036,0
4XPB_A_19383,1
4XPB_A_15840,1
4XPB_A_2866,0
4XPB_A_19546,1
4XPB_A_18329,1
4XPB_A_9387,1
4XPB_A_2706,1
4XPB_A_147,1
4XPB_A_1324,1
4XPB_A_5326,1
4XPB_A_25301,1
4XPB_A_27298,1
4XPB_A_17070,1
4XPB_A_26442,1
4XPB_A_1391,0
4XPB_A_12341,1
4XPB_A_20027,1
4XPB_A_20122,1
4XPB_A_20141,1
4XPB_A_6522,1
4XPB_A_26063,1
4XPB_A_9825,1
4XPB_A_5010,1
4XPB_A_26427,1
4XPB_A_12532,1
4XPB_A_23973,1
4XPB_A_5788,1
4XPB_A_15762,1
4XPB_A_9198,1
4XPB_A_17724,1
4XPB_A_23755,1
4XPB_A_5396,1
4XPB_A_17820,1
4XPB_A_24489,1
4XPB_A_22738,1
4XPB_A_3747,1
4XPB_A_13020,0
4XPB_A_11023,1
4XPB_A_27174,0
4XPB_A_17587,1
4XPB_A_2770,1
4XPB_A_20653,1
4XPB_A_6066,1
4XPB_A_12992,1
5TC0_A_21160,0
5TC0_A_5101,1
5TC0_A_20552,0
5TC0_A_8375,0
5TC0_A_10561,0
8U2T_A_13799,0
8U2T_A_23601,0
8U2T_A_12128,0
8U2T_A_27429,0
8U2T_A_25817,0
8U2T_A_5686,1
8U2T_A_25662,0
8U2T_A_5679,1
2XE6_A_4343,1
2XE6_A_13751,1
2XE6_A_16995,0
2XE6_A_17805,0
2XE6_A_9148,0
2XE6_A_22566,0
2XE6_A_12385,0
2XE6_A_1784,1
2XE6_A_15719,0
6O60_B_5287,0
6O60_B_19899,0
6O60_B_6700,0
6O60_B_23134,0
6O60_B_2901,0
6O60_B_7040,1
6O60_B_11887,0
6O60_B_27181,1
6O60_B_189,0
6O60_B_25282,0
6O60_B_23628,1
