complex_id,label
4V24_A_23365,0
7YAN_A_6668,1
7YAN_A_9873,1
3TJS_A_21627,1
6OB6_A_16127,1
1PQ2_A_12548,1
1DEH_A_13447,1
7EAT_A_3266,0
2HI4_A_9969,1
6OP0_A_16027,1
4D6T_H_2199,1
5U03_A_12955,0
3TJS_A_24044,1
2F7E_E_26703,1
5UE2_A_16625,0
2NA0_A_5274,0
6OP0_A_10605,0
2HI4_A_2712,1
2BXR_A_6050,1
3TJS_A_195,1
2VWU_A_21688,1
7YAN_A_2207,0
1X6V_A_5790,1
5MSC_A_20018,1
3TJS_A_7192,1
1PQ2_A_20641,1
7YAN_A_1786,1
3TJS_A_15456,1
7PK0_A_21255,0
5OMY_A_15539,0
3IBD_A_10876,1
3TJS_A_13841,1
6M7X_A_16282,1
1PQ2_A_26574,1
1PQ2_A_8688,1
3J94_A_12868,0
5UE2_A_12078,1
4J15_A_25788,1
3IBD_A_1927,1
3I2B_A_563,0
1BPX_A_9517,0
3ECM_A_26812,0
3O4R_A_18083,0
3BUR_A_5898,1
2QHM_A_18586,0
4DCH_A_9746,0
1R9O_A_15535,1
2LCK_A_793,1
3TJS_A_1846,1
8DAO_F_12145,0
1S3A_A_21537,0
2HI4_A_2346,1
1RNF_A_13810,0
3IBD_A_19289,1
8OXV_A_13538,1
1HE2_A_3473,0
7LAD_A_5543,0
2L0P_A_9394,0
1Z8D_A_10275,1
1CI6_A_301,0
1JO6_A_16077,0
5KZW_A_8780,0
5LJB_A_4546,1
3VG9_A_19043,1
6KUW_A_23074,1
5MSC_A_24613,0
4J15_A_17436,0
2F7E_E_10772,1
7LAD_A_10761,1
4ZEL_A_5029,0
7SQM_A_24485,0
6ASY_A_25196,0
7ZZO_A_9478,0
4MJO_A_16054,1
4TTB_A_10744,0
1JXV_A_17299,0
3TJS_A_17241,1
2ON3_A_10532,0
5KNN_A_24795,0
1DEH_A_2885,0
7YAN_A_25631,0
6RV2_A_12427,0
1EL3_A_26921,1
5UQS_A_24067,0
7LAD_A_23222,1
1II4_A_10937,1
7SQM_A_20405,0
3TJS_A_4310,1
3APU_A_18802,1
4AF3_A_25885,1
2DW0_A_14505,0
5GL7_A_4148,0
1F0Y_A_24881,0
6E5B_K_40,0
2PID_A_19061,0
4FU4_A_25576,1
4YVV_A_12286,1
4OE5_A_8500,1
2HI4_A_15067,1
1HT0_A_12361,0
6RV2_A_4475,1
3OLD_A_445,1
2QXG_A_1008,0
4FU4_A_19928,1
6GQ3_A_18251,1
2VCQ_A_4538,1
4IP7_A_26467,0
1R9O_A_3995,1
3TJS_A_24242,1
3IBD_A_23455,0
1R9O_A_13409,1
1RY7_B_19411,1
6HN3_A_27061,0
7EAT_A_10104,0
4A5T_S_2853,0
6EHA_A_20581,1
4QGK_A_22208,0
1MVS_A_17618,1
2XX3_A_20666,0
1RXT_A_17907,0
7ZZO_A_22353,1
2L0P_A_9938,0
2XSX_A_11907,0
5HVJ_A_17993,0
1ZW5_A_14359,1
3OLD_A_17373,1
4FL2_A_11400,0
2HI4_A_16828,1
3TJS_A_25778,1
1HML_A_27034,0
1EAZ_A_9974,0
1R9O_A_20477,0
1R9O_A_26025,1
6E5B_N_12946,0
3TJS_A_12983,1
3OLD_A_21781,1
3F3Y_A_24386,0
3TJS_A_22596,1
2XX3_A_2349,0
7RTG_A_6880,0
2XRF_A_23540,0
3TJS_A_14895,1
4D6U_D_14839,0
5WZO_A_14402,0
1URL_A_418,0
7LAD_A_2479,1
1NE7_A_25334,1
3C3U_A_7095,0
1KQN_A_25168,1
6M7X_A_135,0
1LPQ_A_23576,0
1N6U_A_24983,0
7YAN_A_16911,1
1KZW_A_17515,0
8U2T_A_5686,1
7ELX_H_1215,1
1AGN_A_6992,0
3TJS_A_19327,1
1HT0_A_14092,1
6N2U_A_23604,0
5MSC_A_9803,0
4XPB_A_24489,1
